time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,posAngX,posAngY,posAngZ
212.0,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23,10.22499877750604,62.77222683575195,0.0,0.0,0.0
215.0,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23,10.22499877750604,62.77222683575195,0.0017188733853924713,-0.018907607239317184,0.1873571990077794
217.0,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23,10.22499877750604,62.77222683575195,0.0028647889756541188,-0.03151267873219531,0.312261998346299
219.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.004010704565915766,-0.04411775022507343,0.4371667976848186
222.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.0057295779513082375,-0.06646310423517555,0.7035921724206516
224.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.006875493541569885,-0.08136000690857698,0.881209088911207
227.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.008594366926962357,-0.1037053609186791,1.14763446364704
229.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.009740282517224004,-0.11860226359208052,1.3252513801375954
231.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.010886198107485652,-0.13349916626548194,1.5028682966281508
234.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.012605071492878123,-0.15584452027558407,1.7692936713639837
237.0,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23,10.260126704870657,89.12210704338972,0.014323944878270593,-0.1781898742856862,2.0357190460998167
240.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.20053522829578813,2.3021444208356474
242.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.2142862153789279,2.498095986770389
245.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.23491269600363754,2.7920233356725017
247.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.2486636830867773,2.9879749016072434
249.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.2624146701699171,3.183926467541985
251.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.27616565725305686,3.379878033476727
254.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.29679213787776654,3.6738053823788395
257.0,-0.28,2.03,-10.14,0.0,-0.12,1.71,19.29,15.55,-54.23,10.344993958432262,98.21673207508745,0.01604281826366305,-0.3174186185024762,3.967732731280952
