time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,posAngX,posAngY,posAngZ
213.0,9.93,-0.11,0.13,0.0,-0.0,-0.0,-33.75,2.07,-95.48,9.931460114202746,0.0,0.0,0.0,0.0
241.0,9.95,-0.09,0.12,0.0,-0.0,0.0,-33.75,2.07,-95.48,9.951130589033589,0.0,0.0,0.0,0.0
268.0,9.93,-0.11,0.09,0.0,-0.0,0.0,-33.23,2.59,-96.64,9.93101706775293,0.0,0.0,0.0,0.0
295.0,9.95,-0.13,0.18,-0.0,-0.0,-0.0,-33.23,2.59,-96.64,9.952477078597067,0.0,0.0,0.0,0.0
323.0,9.92,-0.11,0.14,-0.0,-0.0,-0.0,-33.23,2.59,-96.64,9.92159765360398,0.0,0.0,0.0,0.0
351.0,9.94,-0.11,0.15,0.0,0.0,-0.0,-33.23,2.59,-96.64,9.94174029031135,0.0,0.0,0.0,0.0
379.0,9.93,-0.11,0.12,0.0,0.0,0.0,-34.27,3.63,-95.98,9.931334250743955,0.0,0.0,0.0,0.0
406.0,9.92,-0.11,0.12,0.0,-0.0,0.0,-34.27,3.63,-95.98,9.921335595573813,0.0,0.0,0.0,0.0
433.0,9.95,-0.12,0.13,0.0,0.0,-0.0,-34.27,3.63,-95.98,9.951572740024563,0.0,0.0,0.0,0.0
461.0,9.94,-0.11,0.14,0.0,-0.0,0.0,-34.27,3.63,-95.98,9.94159443952528,0.0,0.0,0.0,0.0
489.0,9.95,-0.11,0.14,-0.0,-0.0,0.0,-34.27,3.63,-95.98,9.951592837330113,0.0,0.0,0.0,0.0
517.0,9.94,-0.11,0.13,-0.0,0.0,-0.0,-34.09,3.11,-95.81,9.941458645490611,0.0,0.0,0.0,0.0
544.0,9.94,-0.11,0.12,0.0,0.0,0.0,-34.09,3.11,-95.81,9.941332908619447,0.0,0.0,0.0,0.0
572.0,9.94,-0.11,0.13,0.0,0.0,-0.0,-34.09,3.11,-95.81,9.941458645490611,0.0,0.0,0.0,0.0
599.0,9.93,-0.11,0.14,0.0,-0.0,-0.0,-34.09,3.11,-95.81,9.931596044946653,0.0,0.0,0.0,0.0
627.0,9.93,-0.11,0.12,0.0,0.0,-0.0,-32.72,3.8,-96.14,9.931334250743955,0.0,0.0,0.0,0.0
654.0,9.93,-0.12,0.14,-0.0,0.0,-0.0,-32.72,3.8,-96.14,9.931711836335165,0.0,0.0,0.0,0.0
682.0,9.92,-0.1,0.12,-0.0,0.0,-0.0,-32.72,3.8,-96.14,9.921229762484085,0.0,0.0,0.0,0.0
710.0,9.95,-0.11,0.13,-0.0,0.0,-0.0,-32.72,3.8,-96.14,9.951457179730012,0.0,0.0,0.0,0.0
737.0,9.93,-0.1,0.13,0.0,0.0,-0.0,-32.72,3.8,-96.14,9.931354389004554,0.0,0.0,0.0,0.0
764.0,9.94,-0.11,0.13,-0.0,0.0,-0.0,-34.61,2.94,-95.98,9.941458645490611,0.0,0.0,0.0,0.0
792.0,9.93,-0.12,0.14,0.0,0.0,-0.0,-34.61,2.94,-95.98,9.931711836335165,0.0,0.0,0.0,0.0
820.0,9.94,-0.11,0.15,-0.0,0.0,0.0,-34.61,2.94,-95.98,9.94174029031135,0.0,0.0,0.0,0.0
847.0,9.94,-0.11,0.15,0.0,0.0,0.0,-34.61,2.94,-95.98,9.94174029031135,0.0,0.0,0.0,0.0
875.0,9.93,-0.11,0.12,0.0,0.0,0.0,-34.61,3.97,-95.98,9.931334250743955,0.0,0.0,0.0,0.0
902.0,9.93,-0.11,0.14,-0.0,0.0,-0.0,-34.61,3.97,-95.98,9.931596044946653,0.0,0.0,0.0,0.0
930.0,9.93,-0.11,0.14,-0.0,0.0,0.0,-34.61,3.97,-95.98,9.931596044946653,0.0,0.0,0.0,0.0
958.0,9.94,-0.11,0.17,0.0,0.0,-0.0,-34.61,3.97,-95.98,9.942062160336757,0.0,0.0,0.0,0.0
985.0,9.94,-0.12,0.14,-0.0,0.0,0.0,-34.61,3.97,-95.98,9.941710114462198,0.0,0.0,0.0,0.0
1013.0,9.94,-0.11,0.13,-0.0,0.0,-0.0,-33.75,3.11,-95.81,9.941458645490611,0.0,0.0,0.0,0.0
1040.0,9.93,-0.11,0.14,-0.0,0.0,-0.0,-33.75,3.11,-95.81,9.931596044946653,0.0,0.0,0.0,0.0
1068.0,9.96,-0.11,0.15,0.0,0.0,-0.0,-33.75,3.11,-95.81,9.96173679636237,0.0,0.0,0.0,0.0
1095.0,9.95,-0.12,0.15,0.0,0.0,0.0,-33.75,3.11,-95.81,9.95185409860896,0.0,0.0,0.0,0.0
1123.0,9.95,-0.12,0.13,-0.0,0.0,-0.0,-33.23,3.28,-96.98,9.951572740024563,0.0,0.0,0.0,0.0
1151.0,9.95,-0.11,0.13,0.0,0.0,-0.0,-33.23,3.28,-96.98,9.951457179730012,0.0,0.0,0.0,0.0
1178.0,9.94,-0.11,0.15,0.0,0.0,0.0,-33.23,3.28,-96.98,9.94174029031135,0.0,0.0,0.0,0.0
1205.0,9.93,-0.11,0.15,-0.0,0.0,0.0,-33.23,3.28,-96.98,9.931742042562322,0.0,0.0,0.0,0.0
1233.0,9.93,-0.11,0.13,-0.0,0.0,-0.0,-33.23,3.28,-96.98,9.931460114202746,0.0,0.0,0.0,0.0
1261.0,9.93,-0.12,0.12,-0.0,0.0,0.0,-33.23,4.67,-95.98,9.931450045184741,0.0,0.0,0.0,0.0
1289.0,9.95,-0.11,0.15,-0.0,0.0,0.0,-33.23,4.67,-95.98,9.951738541581566,0.0,0.0,0.0,0.0
1316.0,9.94,-0.11,0.15,0.0,0.0,0.0,-33.23,4.67,-95.98,9.94174029031135,0.0,0.0,0.0,0.0
1343.0,9.95,-0.11,0.13,0.0,0.0,-0.0,-33.23,4.67,-95.98,9.951457179730012,0.0,0.0,0.0,0.0
1371.0,9.93,-0.13,0.14,0.0,0.0,0.0,-33.23,4.67,-95.98,9.931837695008916,0.0,0.0,0.0,0.0
1399.0,9.94,-0.1,0.13,0.0,0.0,-0.0,-35.3,4.32,-96.64,9.941353026625702,0.0,0.0,0.0,0.0
1426.0,9.93,-0.12,0.15,0.0,0.0,-0.0,-35.3,4.32,-96.64,9.931857832248706,0.0,0.0,0.0,0.0
1454.0,9.94,-0.11,0.14,0.0,0.0,-0.0,-35.3,4.32,-96.64,9.94159443952528,0.0,0.0,0.0,0.0
1481.0,9.94,-0.11,0.16,0.0,-0.0,0.0,-35.3,4.32,-96.64,9.941896197406207,0.0,0.0,0.0,0.0
1509.0,9.94,-0.11,0.14,0.0,0.0,-0.0,-33.75,4.15,-94.81,9.94159443952528,0.0,0.0,0.0,0.0
1536.0,9.93,-0.11,0.13,-0.0,0.0,0.0,-33.75,4.15,-94.81,9.931460114202746,0.0,0.0,0.0,0.0
1564.0,9.94,-0.11,0.12,-0.0,0.0,-0.0,-33.75,4.15,-94.81,9.941332908619447,0.0,0.0,0.0,0.0
1592.0,9.95,-0.11,0.17,-0.0,0.0,0.0,-33.75,4.15,-94.81,9.952060088243035,0.0,0.0,0.0,0.0
1619.0,9.94,-0.12,0.13,0.0,0.0,-0.0,-34.27,3.28,-95.98,9.941574322007556,0.0,0.0,0.0,0.0
1647.0,9.93,-0.12,0.12,0.0,0.0,-0.0,-34.27,3.28,-95.98,9.931450045184741,0.0,0.0,0.0,0.0
1674.0,9.92,-0.11,0.15,-0.0,0.0,0.0,-34.27,3.28,-95.98,9.921743798345128,0.0,0.0,0.0,0.0
1702.0,9.94,-0.12,0.14,0.0,0.0,0.0,-34.27,3.28,-95.98,9.941710114462198,0.0,0.0,0.0,0.0
1730.0,9.93,-0.12,0.16,0.0,0.0,-0.0,-34.27,3.28,-95.98,9.932013894472762,0.0,0.0,0.0,0.0
1757.0,9.95,-0.12,0.12,0.0,0.0,-0.0,-34.09,3.8,-96.81,9.951447130945327,0.0,0.0,0.0,0.0
1785.0,9.96,-0.11,0.14,0.0,0.0,-0.0,-34.09,3.8,-96.81,9.961591238351431,0.0,0.0,0.0,0.0
1813.0,9.93,-0.11,0.14,0.0,0.0,0.0,-34.09,3.8,-96.81,9.931596044946653,0.0,0.0,0.0,0.0
1841.0,9.94,-0.11,0.14,-0.0,0.0,-0.0,-34.09,3.8,-96.81,9.94159443952528,0.0,0.0,0.0,0.0
1868.0,9.93,-0.11,0.15,0.0,0.0,-0.0,-34.09,3.8,-96.81,9.931742042562322,0.0,0.0,0.0,0.0
1896.0,9.93,-0.11,0.14,0.0,0.0,0.0,-33.75,3.11,-96.48,9.931596044946653,0.0,0.0,0.0,0.0
1923.0,9.94,-0.12,0.13,-0.0,0.0,0.0,-33.75,3.11,-96.48,9.941574322007556,0.0,0.0,0.0,0.0
1951.0,9.93,-0.11,0.15,-0.0,0.0,-0.0,-33.75,3.11,-96.48,9.931742042562322,0.0,0.0,0.0,0.0
1978.0,9.94,-0.11,0.14,-0.0,0.0,0.0,-33.75,3.11,-96.48,9.94159443952528,0.0,0.0,0.0,0.0
2006.0,9.93,-0.11,0.12,0.0,0.0,-0.0,-34.96,3.28,-95.64,9.931334250743955,0.0,0.0,0.0,0.0
2033.0,9.93,-0.11,0.13,0.0,0.0,0.0,-34.96,3.28,-95.64,9.931460114202746,0.0,0.0,0.0,0.0
2061.0,9.95,-0.12,0.15,0.0,0.0,-0.0,-34.96,3.28,-95.64,9.95185409860896,0.0,0.0,0.0,0.0
2089.0,9.94,-0.11,0.14,0.0,0.0,-0.0,-34.96,3.28,-95.64,9.94159443952528,0.0,0.0,0.0,0.0
2117.0,9.94,-0.12,0.14,0.0,0.0,-0.0,-34.09,3.46,-96.48,9.941710114462198,0.0,0.0,0.0,0.0
2145.0,9.94,-0.12,0.13,0.0,0.0,0.0,-34.09,3.46,-96.48,9.941574322007556,0.0,0.0,0.0,0.0
2173.0,9.94,-0.12,0.15,0.0,0.0,-0.0,-34.09,3.46,-96.48,9.941855963551271,0.0,0.0,0.0,0.0
2200.0,9.92,-0.1,0.14,0.0,0.0,-0.0,-34.09,3.46,-96.48,9.921491823309639,0.0,0.0,0.0,0.0
2228.0,9.95,-0.11,0.12,-0.0,-0.0,-0.0,-34.09,3.46,-96.48,9.951331569192135,0.0,0.0,0.0,0.0
2255.0,9.93,-0.12,0.11,-0.0,0.0,0.0,-34.96,2.59,-97.64,9.931334250743955,0.0,0.0,0.0,0.0
2283.0,9.93,-0.1,0.14,-0.0,0.0,-0.0,-34.96,2.59,-97.64,9.931490321195506,0.0,0.0,0.0,0.0
