time,ax,ay,az,gx,gy,gz,mx,my,mz
212.00,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23
215.00,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23
217.00,1.36,-0.29,-10.13,0.01,-0.11,1.09,19.29,15.55,-54.23
219.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
222.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
224.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
227.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
229.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
231.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
234.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
237.00,1.43,0.78,-10.13,0.01,-0.13,1.55,19.29,15.55,-54.23
240.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
242.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
245.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
247.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
249.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
251.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
254.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
257.00,-0.28,2.03,-10.14,0.00,-0.12,1.71,19.29,15.55,-54.23
259.00,-2.23,2.98,-9.98,-0.18,-0.15,0.96,19.29,15.55,-54.23
261.00,-2.23,2.98,-9.98,-0.18,-0.15,0.96,19.29,15.55,-54.23
264.00,-2.23,2.98,-9.98,-0.18,-0.15,0.96,19.29,15.55,-54.23
266.00,-2.23,2.98,-9.98,-0.18,-0.15,0.96,19.29,15.55,-54.23
270.00,-2.23,2.98,-9.98,-0.18,-0.15,0.96,19.29,15.55,-54.23
