time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,posAngX,posAngY,posAngZ
213.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.0,0.0,0.0
216.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.010313240312354827,-0.025783100780887067,0.03609634109324189
218.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.017188733853924713,-0.04297183463481177,0.060160568488736486
221.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.02750197416627954,-0.06875493541569884,0.09625690958197838
223.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.03437746770784943,-0.08594366926962355,0.12032113697747299
225.0,0.28,1.21,-10.01,0.06,-0.15,0.21,18.25,13.48,-58.55,10.086753689864743,15.180678699281675,0.04125296124941931,-0.10313240312354825,0.1443853643729676
229.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.055003948332559074,-0.13750987083139768,0.19251381916395677
232.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.06703606203030638,-0.16329297161228473,0.22861016025719866
235.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.07906817572805368,-0.1890760723931718,0.26470650135044055
237.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.08708958485988522,-0.20626480624709653,0.2887707287459351
239.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.09511099399171674,-0.22345354010102125,0.3128349561414297
242.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.10714310768946393,-0.24923664088190808,0.34893129723467126
244.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.11516451682129547,-0.2664253747358328,0.37299552463016583
246.0,0.29,1.21,-10.05,0.07,-0.15,0.21,18.25,13.48,-58.55,10.12673195063442,15.320595746440137,0.123185925953127,-0.2836141085897575,0.3970597520256604
249.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.25,13.48,-58.55,10.104800839205094,15.320595746440137,0.13521803965087428,-0.3093972093706446,0.4331560931189023
251.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.1432394487827058,-0.3265859432245693,0.45722032051439687
253.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.15126085791453733,-0.343774677078494,0.48128454790989145
256.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.16329297161228462,-0.3695577778593811,0.5173808890031333
258.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.17131438074411615,-0.3867465117133058,0.5414451163986279
261.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.18334649444186343,-0.4125296124941929,0.5775414574918698
263.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.19136790357369496,-0.4297183463481176,0.6016056848873644
265.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.19938931270552648,-0.44690708020204234,0.6256699122828591
268.0,0.3,1.19,-10.03,0.07,-0.15,0.21,18.42,14.0,-58.38,10.104800839205094,15.320595746440137,0.21142142640327377,-0.4726901809829294,0.661766253376101
270.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.2194428355351053,-0.48987891483685414,0.6858304807715956
273.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.23147494923285258,-0.5156620156177412,0.7219268218648375
275.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.2394963583646841,-0.5328507494716659,0.7459910492603321
278.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.2515284720624314,-0.558633850252553,0.782087390353574
280.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.2595498811942629,-0.5758225841064777,0.8061516177490686
282.0,0.3,1.18,-10.05,0.07,-0.15,0.21,18.42,14.0,-58.38,10.123482602345895,15.320595746440137,0.26757129032609445,-0.5930113179604024,0.8302158451445633
