time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,posAngX,posAngY,posAngZ
0.051000000000000004,-0.57,6.56,-7.57,-0.14,-0.03,0.02,2.24,-26.09,-57.05,10.033115169278183,8.283154756205239,0.0,0.0,0.0
0.10300000000000001,-0.57,6.58,-7.58,-0.14,-0.03,0.02,4.82,-25.57,-57.22,10.053740597409503,8.283154756205239,-0.41711327485523936,-0.08938141604040843,0.059587610693605624
0.154,-0.56,6.58,-7.59,-0.14,-0.03,0.02,4.82,-25.57,-57.22,10.060720650132374,8.283154756205239,-0.826205140578647,-0.17704395869542436,0.11802930579694959
0.20700000000000002,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,10.04821377161135,8.283154756205239,-1.2513398245657181,-0.2681442481212253,0.1787628320808169
0.257,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,10.047651466885185,8.283154756205239,-1.6524102811572943,-0.35408791739084877,0.2360586115938992
0.308,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,10.04821377161135,8.283154756205239,-2.061502146880702,-0.4417504600458647,0.29450030669724314
0.361,-0.56,6.55,-7.59,-0.14,-0.03,0.02,4.99,-25.74,-57.05,10.04112543493009,8.283154756205239,-2.486636830867773,-0.5328507494716656,0.3552338329811104
0.41200000000000003,-0.56,6.56,-7.58,-0.14,-0.03,0.02,4.99,-25.74,-57.05,10.040099601099582,8.283154756205239,-2.8957286965911813,-0.6205132921266816,0.4136755280844544
0.462,-0.57,6.56,-7.6,-0.14,-0.03,0.02,3.62,-24.71,-58.38,10.055769488209243,8.283154756205239,-3.2967991531827576,-0.7064569613963051,0.4709713075975367
0.514,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38,10.047651466885185,8.283154756205239,-3.7139124280379967,-0.7958383774367135,0.5305589182911423
0.5650000000000001,-0.57,6.55,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38,10.04168810509468,8.283154756205239,-4.123004293761404,-0.8835009200917295,0.5890006133944864
0.616,-0.57,6.58,-7.56,-0.14,-0.03,0.02,2.41,-26.26,-58.22,10.038670230663023,8.283154756205239,-4.532096159484812,-0.9711634627467454,0.6474423084978302
0.668,-0.56,6.56,-7.59,-0.14,-0.03,0.02,2.41,-26.26,-58.22,10.047651466885185,8.283154756205239,-4.949209434340052,-1.0605448787871539,0.7070299191914359
0.719,-0.58,6.58,-7.6,-0.14,-0.03,0.02,2.93,-25.4,-57.72,10.06939918763776,8.283154756205239,-5.358301300063459,-1.1482074214421698,0.7654716142947797
0.77,-1.37,8.53,-11.28,0.59,-0.15,0.22,2.93,-25.4,-57.72,14.208314467240651,37.08767801649115,-5.767393165786867,-1.2358699640971857,0.8239133093981238
0.8220000000000001,-0.16,4.37,-9.69,2.29,0.5,-0.63,4.48,-19.35,-49.57,10.631020647143904,139.06477702106736,-4.0095586503255,-1.6827770442992283,1.4793770270277862
0.873,-1.89,6.49,-5.47,0.27,0.26,-1.07,4.48,-19.35,-49.57,8.69557933665147,64.95936639396275,2.682015439007375,-0.2217346667156308,-0.3615363687275468
0.923,-0.51,10.36,-17.04,-7.2,-0.8,-1.49,4.48,-19.35,-49.57,19.948716750708552,423.75681189365844,3.455508462433987,0.5231104669544401,-3.4268605726774544
0.976,0.48,8.09,-5.33,-7.23,0.11,0.04,9.3,-25.23,-60.55,9.699865978455579,414.3027667063353,-18.408560999758205,-1.9062305844002476,-7.95150828082556
1.027,0.0,8.77,-5.39,-0.34,-0.13,0.07,9.3,-25.23,-60.55,10.293930250395132,21.238116500565997,-39.53523377961703,-1.5848012613318563,-7.834624890618872
1.077,1.72,10.22,-8.94,1.52,-3.32,1.0,6.72,-34.04,-80.01,13.686869620187078,216.91428457676162,-40.50926203133943,-1.9572238281668917,-7.634089662323084
1.1300000000000001,1.77,9.52,14.38,6.28,-5.06,3.52,6.72,-34.04,-80.01,17.336311603106356,504.1781177487272,-35.893514033765506,-12.038989191288888,-4.597413348129711
1.181,1.85,-9.38,-5.65,10.18,0.63,1.7,6.72,-34.04,-80.01,11.105377075993413,592.4486112557026,-17.54282177131552,-26.824738052434896,5.688324990058815
1.231,0.39,8.87,-9.04,-1.85,0.06,-2.08,0.86,-19.87,-48.74,12.670856324653041,159.5304241468255,11.620730000843405,-25.0199209977728,10.558466248670817
1.284,0.42,2.55,-9.77,2.27,0.99,0.46,0.86,-19.87,-48.74,10.106027904176793,144.31941369159077,6.002878819585691,-24.837720418921197,4.242179515148629
